text,label
"नमस्ते, आप कैसे हैं?",0
आज का दिन कैसा रहा?,0
क्या आप अभी व्यस्त हैं?,0
बाद में बात करते हैं।,0
मुझे आपकी मदद चाहिए।,0
खाना बन गया है।,0
आज मौसम बहुत अच्छा है।,0
क्या आप मेरे लिए पानी ला सकते हैं?,0
धन्यवाद।,0
शुभ रात्रि।,0
सुबह हो गई है।,0
कृपया थोड़ा इंतजार करें।,0
मुझे खुशी है।,0
सब ठीक है।,0
आपसे मिलकर अच्छा लगा।,0
खाना खा लिया बेटा?,0
कैसा चल रहा है सब?,0
कब तक घर आओगे?,0
अपना ध्यान रखना।,0
आज क्या बनाया खाने में?,0
माँ से बात कर लेना एक बार।,0
पढ़ाई कैसी चल रही है तुम्हारी?,0
कोई काम हो तो बताना ज़रूर।,0
क्या कर रहे हो अभी?,0
सब ठीक है ना वहाँ पर?,0
आज का दिन कैसा रहा?,0
शाम को फ्री होकर फोन करना।,0
दवाई ले ली थी क्या?,0
रास्ते में हो क्या तुम?,0
तुम्हारी छुट्टी कब है?,0
"नमस्ते, आप कैसे हैं?",0
शुभ प्रभात! आपका दिन शुभ हो।,0
धन्यवाद! आपने बहुत मदद की।,0
"कृपया, क्या आप थोड़ा इंतज़ार कर सकते हैं?",0
आज मौसम बहुत सुहावना है।,0
"सब कुछ ठीक है, आप बताइए?",0
बाद में मिलते हैं।,0
अपना ख्याल रखना।,0
आपका स्वागत है।,0
मुझे यह जानकर खुशी हुई।,0
"क्षमा करें, क्या आप फिर से कह सकते हैं?",0
मुझे यह बहुत पसंद आया।,0
"ठीक है, मैं समझ गया।",0
क्या आपको कुछ और जानकारी चाहिए?,0
कृपया आराम से बैठिए।,0
दीपावली की हार्दिक शुभकामनाएँ!,0
आपको और आपके परिवार को होली की बहुत-बहुत शुभकामनाएँ।,0
जन्मदिन की ढेरों शुभकामनाएँ! आपका दिन मंगलमय हो।,0
यह दिवाली आपके जीवन में सुख और समृद्धि लाए।,0
होली का त्योहार आपके जीवन में नए रंग भर दे।,0
सभी को दिवाली की हार्दिक बधाई!,0
आपका जन्मदिन खुशियों से भरा हो।,0
शुभ प्रभात! आपका दिन अच्छा हो।,0
नमस्ते! आप कैसे हैं?,0
धन्यवाद! आपका दिन शुभ हो।,0
मुझे खुशी है आपसे मिलकर।,0
फिर मिलेंगे! अपना ध्यान रखना।,0
"कृप्या, अंदर आइए।",0
"माफ करना, मुझे देर हो गई।",0
"सब ठीक है, चिंता मत करो।",0
नमस्ते! आप कैसे हैं?,0
आज मौसम बहुत सुहावना है।,0
क्या मैं आपकी कोई मदद कर सकता हूँ?,0
कृपया मुझे कुछ समय दें।,0
आपका दिन मंगलमय हो।,0
बहुत-बहुत धन्यवाद!,0
बाद में बात करते हैं।,0
मुझे यह जानकर खुशी हुई।,0
आज का दिन कैसा रहा आपका?,0
अपना ख्याल रखिएगा।,0
मैं थोड़ी देर में पहुँच जाऊँगा।,0
यह एक सामान्य संदेश है।,0
आपका स्वागत है।,0
सब कुछ ठीक है।,0
कोई चिंता की बात नहीं है।,0
आज का मौसम बहुत अच्छा है।,0
क्या हाल है? सब ठीक है न?,0
आपके घर पर सब कैसे हैं?,0
आज का दिन कैसा रहा आपका?,0
कल का क्रिकेट मैच देखा क्या आपने?,0
कुछ नया चल रहा है आजकल?,0
खाना खा लिया क्या आपने?,0
आज बहुत शांति महसूस हो रही है।,0
आपका काम कैसा चल रहा है?,0
इस हफ्ते का प्लान क्या है?,0
बच्चों की पढ़ाई कैसी चल रही है?,0
शाम को टहलने चलें क्या?,0
"आज बहुत गर्मी है, है न?",0
आपसे बात करके अच्छा लगा।,0
सुबह की चाय पी ली क्या?,0
"नमस्ते, आप कैसे हैं?",0
आपका दिन शुभ हो।,0
कृपया मेरी मदद करें।,0
आज मौसम बहुत अच्छा है।,0
मुझे यह पसंद आया।,0
आपका बहुत-बहुत धन्यवाद।,0
बाद में मिलते हैं।,0
अपना ध्यान रखना।,0
मैं अभी आता हूँ।,0
यह कहाँ है?,0
क्या सब ठीक है?,0
चिंता मत करो।,0
आज का काम कैसा रहा?,0
मुझे घर जाना है।,0
खुश रहो।,0
"नमस्ते, आप कैसे हैं?",0
शुभ प्रभात! आपका दिन शुभ हो।,0
धन्यवाद!,0
कोई बात नहीं।,0
माफ़ कीजिएगा।,0
क्या मैं आपकी मदद कर सकता हूँ?,0
कृपया।,0
बाद में मिलते हैं।,0
आपका नाम क्या है?,0
खाना तैयार है।,0
आज मौसम बहुत अच्छा है।,0
यह बहुत स्वादिष्ट है।,0
मुझे बहुत खुशी है।,0
सब ठीक है।,0
ध्यान रखिएगा।,0
"नमस्ते, आप कैसे हैं?",0
आपका दिन शुभ हो।,0
आपका बहुत-बहुत धन्यवाद।,0
कृपया मेरी मदद करें।,0
आप क्या कर रहे हैं?,0
बाद में मिलते हैं।,0
