text,label
"प्रिय ग्राहक, आपका बिजली कनेक्शन आज रात 9 बजे काट दिया जाएगा क्योंकि आपका बिल बकाया है। तुरंत इस अधिकारी (Mr. Sharma) से बात करने के लिए इस नंबर पर कॉल करें: 7008009001।",1
"आपके बिजली बिल का भुगतान नहीं हुआ है। यदि आप कनेक्शन कटने से बचना चाहते हैं, तो कृपया दिए गए नंबर पर बिजली विभाग के अधिकारी से संपर्क करें: 8877665544।",1
आपका बैंक खाता अस्थायी रूप से ब्लॉक कर दिया गया है। KYC अपडेट करने के लिए तुरंत इस लिंक पर क्लिक करें: bank.update/kyc। अन्यथा आपका खाता बंद कर दिया जाएगा।,1
"बधाई हो! आपने KBC लकी ड्रॉ में 25,00,000 रुपये का नकद पुरस्कार जीता है। अपना इनाम प्राप्त करने के लिए इस WhatsApp नंबर पर संपर्क करें: +91-9988776655।",1
घर बैठे रोजाना 3000-5000 रुपये कमाएँ! पार्ट-टाइम जॉब के लिए इस लिंक पर रजिस्टर करें: work.fromhome/job। सीमित अवसर!,1
"प्रिय ग्राहक, आपका SBI डेबिट कार्ड ब्लॉक कर दिया गया है। इसे पुनः सक्रिय करने के लिए इस लिंक पर तुरंत जानकारी सत्यापित करें: sbi.secure/card।",1
आपको ₹5000 का कैशबैक मिला है। इसे अपने खाते में प्राप्त करने के लिए प्राप्त हुए OTP को इस नंबर पर भेजें: 7788990011।,1
आपका पार्सल डिलीवरी के लिए रोका गया है। शुल्क भुगतान के लिए इस लिंक पर क्लिक करें: express.post/pay। देरी से बचने के लिए तुरंत कार्रवाई करें।,1
"Facebook लकी विजेता! आपने ₹10,00,000 जीते हैं। अपनी जीत का दावा करने के लिए इस लिंक पर अपना विवरण भरें: fb.contest/winner।",1
"अब पाएं ₹5 लाख तक का पर्सनल लोन, बिना किसी दस्तावेज़ के! आवेदन करने के लिए अभी कॉल करें: 9008007006।",1
"आपके बैंक खाते में संदिग्ध गतिविधि का पता चला है। यदि यह आपने नहीं किया है, तो तुरंत अपने खाते को सुरक्षित करने के लिए इस अधिकारी से बात करें: 6655443322।",1
"पापा, मेरा पुराना फोन खो गया है। यह मेरा नया नंबर है। बहुत ज़रूरत है, तुरंत पैसे भेज दो इस लिंक पर: bit.ly/urgentfund",1
"मम्मी, मेरा फोन खो गया है और यह मेरा नया नंबर है। अस्पताल में भर्ती हूँ, मुझे अभी तुरंत पैसे चाहिए। इस नंबर पर Google Pay कर दो: 9876543210",1
"पापा, मेरा फोन खो गया है। यह मेरा नया नंबर है। अस्पताल में कुछ इमरजेंसी है, कृपया जल्दी से ₹5000 इस UPI ID पर भेज दें: support@bankupi.com",1
"मम्मी, मेरा फोन गुम हो गया है। यह मेरा नया नंबर है। बहुत बड़ी दिक्कत आ गई है, मुझे अभी पैसे चाहिए। इस लिंक पर क्लिक करके मदद करो: help.me/paynow",1
"पापा, मेरा फोन खो गया है। यह मेरा नया नंबर है। अस्पताल में हूँ और मुझे अभी तुरंत पैसे भरने हैं। कृपया इस बैंक खाते में भेज दें: A/C 1234567890, IFSC: SBIN0001234",1
"मम्मी, मेरा पुराना फोन खो गया है। यह मेरा नया नंबर है। मुझे अस्पताल में भर्ती होना पड़ा है, कृपया जल्दी से पैसे भेज दो इस नंबर पर: 8765432109 (Paytm)",1
"पापा, मेरा फोन टूट गया है और खो गया है। यह मेरा नया नंबर है। मुझे अचानक अस्पताल जाना पड़ा है, अभी ₹10,000 की ज़रूरत है। इस UPI ID पर भेजो: immediate@pay.in",1
"मम्मी, मेरा फोन गुम हो गया है। यह मेरा नया नंबर है। मैं बहुत मुश्किल में हूँ, अस्पताल में हूँ, मुझे तुरंत पैसे की ज़रूरत है। कृपया इस वेबसाइट पर जाओ: scam.link/sendmoney",1
"पापा, मेरा फोन चोरी हो गया है। यह मेरा नया नंबर है। मुझे अस्पताल में दवाई के लिए पैसे चाहिए। कृपया जल्दी करो, इस नंबर पर PhonePe कर दो: 9988776655",1
"मम्मी, मेरा फोन खो गया है। यह मेरा नया नंबर है। एक ज़रूरी काम आ गया है और मुझे अभी तुरंत कुछ पैसे चाहिए। इस लिंक पर क्लिक करके भेज दो: shorturl.at/payhelp",1
"पापा, मेरा फोन खो गया है और मैं अस्पताल में हूँ। यह मेरा नया नंबर है। मुझे अभी ₹7000 की सख्त ज़रूरत है। कृपया इस UPI ID पर पैसे भेज दें: urgentfund@upi",1
"आपका आयकर रिफंड ₹15,450.00 स्वीकृत हो गया है। कृपया अपनी राशि जमा करने के लिए इस लिंक पर क्लिक करें: http://itrefund.scam.in",1
आपके बैंक खाते को अस्थायी रूप से निलंबित कर दिया गया है। इसे पुनः सक्रिय करने के लिए इस लिंक पर क्लिक करें: http://banksecurity.fake/activate या 9876543210 पर कॉल करें।,1
बधाई हो! आपने हमारी वार्षिक लकी ड्रा में ₹25 लाख की राशि जीती है। अपनी राशि प्राप्त करने के लिए इस लिंक पर पंजीकरण करें: http://lotterywin.co/claim,1
"प्रिय ग्राहक, आपके बैंक खाते का KYC अपडेट लंबित है। कृपया 24 घंटे के भीतर अपडेट करने के लिए इस लिंक पर जाएं: http://kycupdate.biz/urgent अन्यथा आपका खाता बंद हो जाएगा।",1
आपका बिजली बिल बकाया है। तुरंत भुगतान करें अन्यथा आपकी बिजली काट दी जाएगी। भुगतान के लिए इस लिंक पर क्लिक करें: http://powerbill.co.in/paynow,1
"आपके लिए एक शानदार नौकरी का अवसर! ₹45,000 प्रति माह कमाएं। आवेदन करने के लिए इस लिंक पर क्लिक करें: http://joboffer.net/apply",1
"तत्काल ₹5 लाख का ऋण प्राप्त करें, बिना किसी दस्तावेज़ के! अभी आवेदन करने के लिए इस लिंक पर क्लिक करें: http://instantloan.xyz/apply",1
आपके बैंक खाते से एक संदिग्ध गतिविधि देखी गई है। अपनी पहचान सत्यापित करने के लिए इस लिंक पर क्लिक करें और अपने खाते की सुरक्षा सुनिश्चित करें: http://securemybank.com/confirm,1
"आपका व्हाट्सएप खाता एक नए डिवाइस पर सक्रिय किया जा रहा है। यदि यह आप नहीं हैं, तो इस लिंक पर क्लिक करके तुरंत अपना खाता सुरक्षित करें: http://whatsappsecure.link/protect",1
