text,label
Aapka bijli connection aaj raat power off kar diya jayega kyunki bill unpaid hai. Turant is number 8976543210 par call karein. Ek officer aapka connection kat kar dega tonight.,1
Attention! Aapka bijli bill unpaid hai. Agar turant payment nahi kiya toh tonight aapki power off kar di jayegi. Is link par jaakar turant payment karein: pay.bijli-dept.com/urgent. Hamare officer aapko call karenge.,1
Last warning! Aapka bijli account overdue hai. Tonight 9 baje tak power off ho jayegi. Is number 7890123456 par turant call karein. Officer aapka connection kat karne aa raha hai.,1
"Aapka bill unpaid hone ke karan, aapka electricity supply tonight power off kar diya jayega. Sampark karein: whatsapp.bijli-seva.com ya call karein 9012345678. Ek officer report karega.",1
Urgent notice: Aapka bijli bill abhi tak unpaid hai. Tonight aapki light kat sakti hai. Is number 6789012345 par call karein aur apna bill bharein. Ek officer confirm karega power off.,1
"Sachiv Bijli Vibhag se: Aapka bill unpaid hai, jiski wajah se tonight aapki power off kar di jayegi. Turant is link par click karein: status.power-off.com. Hamare officer aapko call karenge.",1
Bijli katne wali hai! Aapka bill unpaid hai. Tonight 10 baje tak power off. Turant 8765432109 par call karein. Hamare officer aapka naam list mein check kar rahe hain.,1
"FINAL ALERT! Aapka bijli bill unpaid hai. Tonight 7 baje power off ho jayega. Is number 9876543210 par call karein ya link.urgent-power.com par click karein. Jaldi karein, officer aane wale hain.",1
Apka electricity connection tonight power off kar diya jayega. Aapka bill unpaid hai. Is number 7654321098 par call karein ya online payment karein: bijli.online-pay.com. Officer aapke area mein hain kat karne.,1
Aapka bijli khatra mein hai! Bill unpaid hai. Agar payment nahi hua toh tonight aapki light kat jayegi. Turant 6543210987 par call karein ya is link par jaayein: pay.power-cut-now.com. Ek officer verify karega.,1
Warning! Aapka bill unpaid hai. Aapka bijli connection tonight power off ho jayega. Turant is link par jaayein: link.bijli-alert.com. Ek officer aapse contact karega aur aapko call karega.,1
Aapka bijli bill pending hai. Tonight 8 PM tak power off hone ki sambhavna hai. Is number 8901234567 par call karein. Hamare officer aapka connection kat karne ke liye taiyar hain.,1
LAST CHANCE! Aapka bill unpaid hai. Tonight 9 PM tak agar payment nahi kiya toh power off ho jayegi. Is link par jaayein: power.bijli-seva.org. Hamare officer aapko call karke details puchhenge.,1
Urgent Action Required! Aapka bijli bill unpaid hai. Tonight aapka connection kat kar diya jayega. Turant 9012345678 par call karein. Ek officer aapke address par visit karega.,1
Aapka bijli account mein dikkat hai. Bill unpaid hai. Tonight power off ho jayega. Turant is link par jaayein: link.electricity-notice.com. Officer aapko call karke verify karega.,1
Bijli Vibhag se. Aapka bill unpaid hai. Tonight 7 PM ke baad power off ho jayegi. Is number 7890123456 par turant call karein. Ek officer aapka account kat kar dega.,1
Khulasa! Aapka bijli bill unpaid hai aur tonight aapki light kat sakti hai. Is link par jaayein: link.power-disconnect.com. Hamare officer aapko call karke guidance denge.,1
Attention consumer! Aapka bill unpaid hai. Agar turant payment nahi kiya toh tonight 8:30 PM tak power off kar di jayegi. Turant 6789012345 par call karein. Officer aapka connection kat karne wale hain.,1
Bijli disconnection alert! Aapka bill unpaid hai. Tonight aapki power off ho jayegi. Is link par turant jaayein: pay.bijli-security.com. Ek officer aapko call karega aur process batayega.,1
FINAL WARNING! Aapka bijli bill unpaid hai. Tonight 9 baje aapki power off kar di jayegi. Is number 8765432109 par turant call karein. Hamare officer aapke area mein hain kat karne ke liye.,1
"Hi Mum, ye mera naya number hai. Mera phone kho gaya. Urgent hai, mujhe abhi hospital mein paiso ki zaroorat hai, please is link par click karke transfer kar do: bit.ly/emergencyfund",1
"Papa, main beta bol raha hoon, mera phone kho gaya hai. Ye naya number hai. Urgent paisa transfer karna hai, warna hospital se discharge nahi karenge. Is number par call karo: +918765432109",1
"Mummy, ye mera naya number hai. Boht badi problem ho gayi hai. Police ne pakad liya hai ek accident ke baad. Fauran ₹50,000 transfer karne hain. Is link pe details hain: http://scamurl.com/policedemand",1
"Beta, main bol raha hoon, ye mera naya number hai. Mera phone kho gaya. Urgent hai, ek bill pay karna hai, warna bijli kat jayegi. Fauran is number par ₹5000 transfer kar do: +917890123456",1
"Hi Dad, ye mera naya number hai. Badi musibat mein hoon. Ek emergency transfer karna hai abhi, bank account block ho gaya hai. ₹25,000 is link par bhejo: https://urgentpay.co/myaccount",1
"Papa, main beta. Mera phone kho gaya tha, ab ye naya number hai. Urgent hai, mere hospital ke bills pending hain. Jaldi ₹15,000 transfer karo, is number par: +919988776655",1
"Mummy, main beti. Mera phone kho gaya, naya number hai. Urgent transfer karna hai, warna college se nikal denge. ₹10,000 is link pe bhejo: bit.ly/feepayment",1
"Hi Mum, main hoon. Mera phone kho gaya tha, ab is number par message karna. Ek accident ho gaya hai aur hospital mein hoon, urgent paiso ki zaroorat hai. ₹30,000 is number par paytm kar do: +919765432100",1
"Dad, main beta. Ye mera naya number hai. Urgent hai, ek online lottery jeeti hai, lekin usko claim karne ke liye pehle ₹5000 transfer karne padenge is link par: http://luckywinner.net/claim",1
"Papa, mera phone kho gaya, ye naya number hai. Urgent police station se call aaya hai, ek case solve karne ke liye ₹20,000 chahiye. Fauran is number par transfer karo: +919876500000",1
"Mummy, main beta. Mera phone kho gaya tha, ab is number pe contact karna. Urgent hai, accident ho gaya hai, hospital mein hoon. Doctor bol rahe hain fauran ₹40,000 transfer karo. Is link pe details hain: https://hospitalbill.org/urgent",1
"Hi Dad, ye mera naya number hai. Urgent, ek investment project mein paisa lagana hai, boht profit hoga. ₹50,000 is number par transfer karo: +919123456789",1
"Beta, main mummy. Mera phone kho gaya hai. Urgent hai, bijli ka bill pending hai, warna kat jayegi. Is number par ₹7000 bhej do: +918000011111",1
"Papa, mera phone kho gaya tha, ab ye naya number hai. Urgent, ek lottery lagi hai ₹1 Crore ki, par uske liye ₹10,000 processing fees transfer karni hai is link pe: http://bigwin.co/process",1
"Hi Mum, main hoon. Mera phone kho gaya. Naya number hai. Emergency hai, hospital mein hoon, chot lag gayi hai. ₹25,000 chahiye fauran transfer ke liye. Is number par Google Pay kar do: +917654321098",1
"Dad, main beta. Ye mera naya number hai. Urgent, ek online delivery phass gayi hai customs mein. ₹12,000 transfer karne hain release ke liye. Is link par click karo: bit.ly/customsclear",1
"Mummy, mera phone kho gaya. Ab ye naya number hai. Urgent hai, ek dost ki help karni hai jiska accident ho gaya hai. ₹18,000 is number par bhej do: +919012345678",1
"Papa, main beti. Mera phone kho gaya tha. Ye mera naya number hai. Urgent, mujhe coaching ki fees deni hai, warna attendance cut jayegi. ₹22,000 is link par transfer karo: https://feepay.online/myfee",1
"Hi Mum, ye mera naya number hai. Mera phone kho gaya. Urgent hai, police ne fine lagaya hai galti se. ₹8000 fauran is number par pay karo: +918901234567",1
"Dad, main beta. Mera phone kho gaya. Ye naya number hai. Urgent hospital mein ek relative ko admit karaya hai, cash ki zaroorat hai. ₹35,000 is link par transfer kar do: http://emergencyaid.com/helpnow",1
"Badhai ho! Aapke liye ₹1,999 ka exclusive refund approve ho gaya hai. Abhi claim karein, nahi toh expire ho jayega. Click: bit.ly/getcashbacknow",1
"Aapne ₹50,000 ka inaam jeeta hai! Yeh amount aapke account mein credited hone wala hai. Claim karne ke liye: prize.in/claimnow. Offer jaldi expire hoga!",1
Urgent! Aapka electricity bill pending hai. Payment na hone par light cut jayegi. Refund ya bill details ke liye call karein: 9123456789. Yeh notice expire hone wala hai.,1
"Paytm se ₹2,500 ka cashback wapas aa gaya hai! Turant claim karein varna expire ho jayega. Aapke account mein credited hoga. Link: paytm.me/refundget",1
Police notice! Aapke khilaf complaint hai. Isse bachne aur pending refund check karne ke liye is link par jaayein: policeverify.in/urgent. Varna account mein problem hogi.,1
"Aapke bank account mein ₹3,500 ka extra refund credited hone wala hai. Claim karne ke liye is link par click karein: bankoffer.co.in/claim. Jaldi, offer expire hoga!",1
KYC expire hone wala hai! Aapka account block ho jayega. Wapas activate karne aur pending refund ke liye call karein: 8877665544. Link: updatekyc.xyz/fix.,1
"Amazon se ₹4,000 ka cashback approve ho gaya hai! Abhi claim karein, nahi toh expire ho jayega. Aapke account mein wapas aayega. Click: amzn.to/myrefund.",1
Income Tax Alert! Aapka refund pending hai. Agar claim nahi kiya toh legal notice milega. Claim link: itax.gov.in/claimtax. Aapke account mein issue hoga.,1
"Congratulations! Aapne ₹75,000 ka lucky draw jeeta hai. Aapke account mein credited hone ke liye is link par jaayein: luckydraw.com/winbig. Offer jaldi expire hoga!",1
Urgent: Aapki EMI overdue hai! Penalty lagegi. Refund ya due details ke liye is link par check karein: loanpay.in/latefee. Yeh warning expire hone wali hai.,1
"Flipkart se ₹3,000 ka refund ready hai! Aapke account mein wapas chahiye toh is link par click karein: flipkart.in/getrefund. Offer expire hone wala hai.",1
Bank Security Alert! Aapke account mein suspicious activity detect hui hai. Refund ya security check ke liye is number par call karein: 9000112233. Link: banksecure.in/verify.,1
"Diwali Bumper Cashback! ₹5,000 ka refund aapke account mein credited ho raha hai. Claim karne ke liye: diwalioffer.xyz/cash. Jaldi, expire hone wala hai!",1
Gas disconnection notice! Pending bill ka payment karein. Refund ya connection info ke liye call karein: 7766554433. Link: gasbill.com/paynow.,1
"Maha Festival Refund! Aapko ₹2,999 ka extra refund mila hai. Aapke account mein wapas aayega. Claim karne ke liye: festoffer.co/get. Yeh link jaldi expire hoga!",1
