text,label
आपका बिजली कनेक्शन आज रात 9 बजे काट दिया जाएगा क्योंकि आपका पिछला बिल बकाया है। तुरंत इस नंबर पर संपर्क करें अधिकारी: 8092123456।,1
"प्रिय ग्राहक, आपका बिजली बिल अपडेट नहीं हुआ है। कृपया इस लिंक पर क्लिक करके अपना बिल तुरंत अपडेट करें: https://bit.ly/power-bill-update-in",1
आपका बैंक खाता ब्लॉक कर दिया गया है। KYC अपडेट करने के लिए इस लिंक पर जाएं: https://sbi.in/kycupdate-urgent या 9012345678 पर कॉल करें।,1
बधाई हो! आपने जियो (Jio) लकी ड्रा में 25 लाख रुपये जीते हैं। अपनी राशि प्राप्त करने के लिए इस व्हाट्सएप नंबर पर संपर्क करें: +917089123456।,1
आपको अमेज़न (Amazon) में वर्क फ्रॉम होम (Work From Home) जॉब के लिए चुना गया है। रजिस्ट्रेशन फीस ₹499 के लिए इस लिंक पर क्लिक करें: https://amazonjobs.in/regfees,1
आपका आधार कार्ड सस्पेंड कर दिया गया है। इसे सक्रिय करने के लिए इस लिंक पर तुरंत क्लिक करें: https://uidai.gov.in/activate-aadhaar-now,1
आपका गैस कनेक्शन रद्द कर दिया जाएगा क्योंकि आपका बिल भुगतान अधूरा है। तुरंत संपर्क करें अधिकारी: 7789123456।,1
आपके पेटीएम (Paytm) अकाउंट में ₹5000 क्रेडिट हो गए हैं। प्राप्त करने के लिए इस लिंक पर क्लिक करें और अपना पिन डालें: https://paytm.me/receive_money_now,1
"तुरंत ₹50,000 का पर्सनल लोन पाएं, बिना किसी दस्तावेज़ के। आवेदन करने के लिए इस लिंक पर क्लिक करें: https://loanbazaar.in/applynow-loan",1
आपका पार्सल कस्टम्स (Customs) में अटका हुआ है। डिलीवरी शुल्क ₹150 भुगतान करने के लिए इस लिंक पर क्लिक करें: https://indiapost.co/pay-delivery-charge,1
"मम्मी/पापा, मेरा फोन खो गया है और यह मेरा नया नंबर है। मुझे अभी अस्पताल में भर्ती होना पड़ा है और मुझे तुरंत पैसों की बहुत ज़्यादा ज़रूरत है। कृपया इस नंबर पर जल्दी से भेज दें या इस लिंक पर क्लिक करके मदद करें: help.me/urgent-hindi",1
बधाई हो! आपका नंबर ₹25 लाख की Jio लकी ड्रॉ प्रतियोगिता में चुना गया है। अपना इनाम प्राप्त करने के लिए कृपया इस व्हाट्सएप नंबर +91-789XXXXXXX पर तुरंत संपर्क करें या kyc-prize.com पर अपना विवरण अपडेट करें।,1
"प्रिय ग्राहक, आपका बैंक खाता ब्लॉक कर दिया गया है। अपना KYC अपडेट करने के लिए तुरंत इस लिंक पर क्लिक करें अन्यथा आपका खाता स्थायी रूप से बंद कर दिया जाएगा: sbi-kyc-update.net/hindi-now या हमें इस नंबर पर कॉल करें: 011-45XXXXXX।",1
"घर बैठे रोज़ ₹3000-₹5000 कमाएँ! कोई निवेश नहीं, सिर्फ़ पार्ट-टाइम काम। अभी शुरू करने के लिए इस व्हाट्सएप नंबर पर 'HI' भेजें: +91-987XXXXXXX या यहाँ पंजीकरण करें: work-from-home.in/job-hindi।",1
"प्रिय उपभोक्ता, आपके बिजली बिल का भुगतान बकाया है। आज रात 9 बजे तक भुगतान न करने पर आपकी बिजली काट दी जाएगी। तुरंत भुगतान के लिए इस लिंक पर क्लिक करें: pay-bill.co.in/electricity-hindi या संपर्क करें: 1800-20XXXX।",1
"तत्काल लोन पाएँ! ₹50,000 से ₹10 लाख तक का पर्सनल लोन बिना दस्तावेज़ के। 2% ब्याज दर। आवेदन करने के लिए यहाँ क्लिक करें: fast-loan.in/apply-now या हमें कॉल करें: +91-637XXXXXXX।",1
"आपके नाम का एक अंतर्राष्ट्रीय पार्सल भारतीय सीमा शुल्क विभाग में रुका हुआ है। इसे छुड़ाने के लिए ₹3,500 का शुल्क तुरंत इस लिंक पर जमा करें: custom-clearance.info/pay-fee-hindi या हमें इस नंबर पर कॉल करें: 022-78XXXXXX।",1
"यार, मेरा फोन पानी में गिर गया, यह मेरा नया नंबर है। मैं बहुत मुश्किल में हूँ, एक दोस्त का अस्पताल में एक्सीडेंट हो गया है और मुझे अभी पैसों की ज़रूरत है। क्या तू मुझे ₹5000 भेज सकता है? मैं तुझे सुबह वापस कर दूँगा। इस QR कोड को स्कैन कर: scan-pay.online/friend-help",1
"भारत सरकार की नई 'हर घर योजना' के तहत आपको ₹75,000 की नकद सब्सिडी मिली है। अपनी सब्सिडी का दावा करने के लिए तुरंत इस लिंक पर पंजीकरण करें: govt-subsidy-india.org/claim-hindi या इस टोल-फ्री नंबर पर कॉल करें: 1800-89XXXXXX।",1
आपके डेबिट कार्ड की वैधता समाप्त हो गई है। इसे तुरंत नवीनीकृत करने के लिए इस लिंक पर अपनी जानकारी अपडेट करें: atm-card-update.com/hindi या आपका कार्ड ब्लॉक कर दिया जाएगा। अधिक जानकारी के लिए इस नंबर पर संपर्क करें: 022-24XXXXXX।,1
"प्रिय ग्राहक, आपका आयकर रिफंड ₹14,500 स्वीकृत हो गया है। अपनी राशि अपने खाते में जमा करने के लिए तुरंत इस लिंक पर क्लिक करें: itax.gov.in/refund",1
आपके बैंक खाते का KYC समाप्त हो गया है। आपकी राशि और खाता ब्लॉक होने से बचाने के लिए इस लिंक पर क्लिक करके तुरंत अपडेट करें: mybank.in/kyc-update,1
"बधाई हो! आपने KBC लकी ड्रा में ₹25,000,000 जीते हैं। अपनी यह भारी राशि प्राप्त करने के लिए हमारे एजेंट से इस नंबर पर संपर्क करें: +91-8765432109",1
आपका बिजली बिल बकाया है। आज रात 9 बजे तक भुगतान न करने पर आपकी बिजली काट दी जाएगी। अपनी राशि का भुगतान करने के लिए इस लिंक पर जाएँ: power.bill.co/paynow,1
शुभकामनाएँ! Jio ने आपको ₹999 का फ्री रिचार्ज दिया है। इसे अपने नंबर पर जमा करने के लिए तुरंत इस लिंक पर क्लिक करें: jiofree.recharge.com/get,1
"आपका बैंक रिफंड ₹18,000 अप्रूव हो गया है। यह राशि आपके खाते में क्रेडिट करने के लिए नीचे दिए गए लिंक पर अपनी जानकारी भरें: bank.refund.net/claim",1
अर्जेंट: आपका आधार कार्ड बैंक खाते से लिंक नहीं है। आपकी राशि के लेनदेन को जारी रखने के लिए इस लिंक पर क्लिक करें: aadhar.link.in/update,1
"आपके लॉटरी नंबर पर ₹50,000 की राशि जीत चुकी है। इसे अपने खाते में जमा करने के लिए हमें इस WhatsApp नंबर पर मैसेज करें: +91-9876543210",1
"नौकरी का सुनहरा अवसर! घर बैठे ₹40,000 प्रति माह कमाएँ। अपनी पहली राशि पाने के लिए इस लिंक पर रजिस्टर करें: job.offers.com/apply",1
आपका पार्सल होल्ड पर है क्योंकि डिलीवरी शुल्क का भुगतान नहीं हुआ है। अपनी राशि का भुगतान करके डिलीवरी प्राप्त करने के लिए इस लिंक पर क्लिक करें: delivery.track.net/pay,1
"बधाई हो! आपने हमारी लकी ड्रॉ प्रतियोगिता में ₹25,00,000 का नकद पुरस्कार जीता है। अपना पुरस्कार पाने के लिए इस लिंक पर क्लिक करें: bit.ly/my-prize-hindi",1
घर बैठे डेटा एंट्री/प्रोडक्ट रिव्यू करके हर दिन ₹800-₹1500 कमाएं। पार्ट टाइम/फुल टाइम उपलब्ध। अभी आवेदन करें: wa.me/918765432100,1
आपका बैंक खाता ब्लॉक कर दिया जाएगा! KYC अपडेट करने के लिए तुरंत इस लिंक पर क्लिक करें: bank-update.co/kyc-hindi,1
सिर्फ ₹500 निवेश करें और 1 महीने में ₹5000 पाएं! सीमित समय का ऑफर। अधिक जानकारी के लिए इस नंबर पर व्हाट्सएप करें: +919988776655,1
"प्रधानमंत्री जन धन योजना के तहत आपको ₹50,000 की सरकारी सहायता मिलेगी। अपना आवेदन जमा करने के लिए यहां क्लिक करें: pm-yojana.in/grant",1
आपका पार्सल डिलीवरी के लिए लंबित है। शुल्क का भुगतान करने और ट्रैक करने के लिए इस लिंक पर जाएं: trackmyparcel.xyz/pay,1
क्या आप खाली समय में पैसे कमाना चाहते हैं? हमारे साथ जुड़ें और छोटे-छोटे टास्क पूरे करके प्रतिदिन ₹3000 तक कमाएं। व्हाट्सएप ग्रुप जॉइन करें: chat.whatsapp.com/scamjobs,1
"बिना किसी दस्तावेज़ के तुरंत ₹50,000 से ₹5,00,000 तक का लोन पाएं! कम ब्याज दर। अभी आवेदन करने के लिए इस नंबर पर कॉल करें: 07011223344",1
क्रिप्टो में निवेश करके अपनी कमाई को दोगुना करें! विशेषज्ञ सलाह और गारंटीड रिटर्न। अभी हमारी वेबसाइट पर जाएं: invest-crypto-hindi.net,1
घर बैठे रोज़ाना 1000-5000 रुपये कमाएं! कोई निवेश नहीं। यह असली नौकरी है। तुरंत व्हाट्सएप करें: 9876543210,1
आपका बैंक खाता सुरक्षा कारणों से अस्थायी रूप से ब्लॉक कर दिया गया है। इसे पुनः सक्रिय करने के लिए कृपया इस लिंक पर KYC/पैन अपडेट करें: bit.ly/updatekycnow,1
"आपके खाते से ₹49,999 का संदिग्ध लेनदेन हुआ है। यदि यह आपने नहीं किया है, तो तुरंत इस नंबर पर संपर्क करें: 917001234567 या bit.ly/fraudalert पर क्लिक करें।",1
"बधाई हो! आप रिलायंस जियो 'लकी ड्रॉ' के विजेता हैं, आपने ₹25,00,000 जीते हैं। इस नंबर पर व्हाट्सएप करें: wa.me/918800123456 अपना इनाम पाने के लिए।",1
"घर बैठे रोज़ाना ₹3,000 से ₹7,000 कमाएं! बिना किसी निवेश के, पार्ट-टाइम काम। आज ही जुड़ने के लिए इस लिंक पर रजिस्टर करें: bit.ly/easyworkhome",1
"प्रिय उपभोक्ता, आपका बिजली बिल बकाया है। यदि आज रात 9 बजे तक भुगतान नहीं किया जाता है, तो आपकी बिजली काट दी जाएगी। तुरंत भुगतान के लिए इस नंबर पर संपर्क करें: 7200123456",1
"आयकर विभाग की ओर से आपको ₹12,850 का आयकर रिफंड मिलना बाकी है। अपना रिफंड प्राप्त करने के लिए कृपया इस लिंक पर अपनी बैंक जानकारी अपडेट करें: bit.ly/itaxrefund",1
"आपके बैंक खाते से ₹10,000 निकालने के लिए एक OTP भेजा गया है। कृपया यह OTP किसी के साथ साझा न करें। यदि आपने यह अनुरोध नहीं किया है, तो इस नंबर पर कॉल करें: 8900123456",1
"तत्काल व्यक्तिगत ऋण स्वीकृत! 5 मिनट में ₹5 लाख तक का ऋण, कम ब्याज दर पर। अभी आवेदन करने के लिए इस लिंक पर क्लिक करें: bit.ly/instantloanapp",1
आपका व्हाट्सएप अकाउंट 24 घंटे में ब्लॉक कर दिया जाएगा क्योंकि आपने हमारी सेवा शर्तों का उल्लंघन किया है। इसे चालू रखने के लिए इस लिंक पर पुष्टि करें: bit.ly/whatsappverify,1
आपका पैकेज की डिलीवरी रोक दी गई है। सीमा शुल्क का भुगतान करने या पते की पुष्टि करने के लिए इस लिंक पर क्लिक करें: bit.ly/deliverystatus,1
"बधाई हो! आपका नंबर 25 लाख रुपये की लॉटरी का विजेता चुना गया है। राशि प्राप्त करने के लिए कृपया इस व्हाट्सएप नंबर पर संपर्क करें: +91 7XXXXXXX90। याद रखें, टैक्स भुगतान अनिवार्य है।",1
"Jio/Airtel ग्राहक, आपको हमारी तरफ से 25 लाख रुपये का बंपर इनाम मिला है। अपनी इनाम राशि का दावा करने के लिए इस लिंक पर क्लिक करें और अपनी जानकारी सत्यापित करें: lucky-winner.net/claim. आज ही अंतिम मौका!",1
"आपका बैंक खाता सस्पेंड कर दिया गया है। इसे पुनः सक्रिय करने के लिए तत्काल संपर्क करें: 1800-XXX-XXXX। अन्यथा, आपकी सभी सेवाएं बंद कर दी जाएंगी।",1
KBC कौन बनेगा करोड़पति से आपको बधाई! आप 25 लाख रुपये के विजेता चुने गए हैं। अपनी पुरस्कार राशि प्राप्त करने के लिए इस नंबर पर कॉल करें: 8XXXXXXX99। टैक्स पहले देना होगा।,1
बिजली विभाग: आपका बिजली बिल बकाया है। यदि आज रात 9 बजे तक भुगतान नहीं किया गया तो आपकी बिजली काट दी जाएगी। तुरंत भुगतान करें: pay-power.xyz/bill।,1
"सरकार की नई योजना के तहत, सभी भारतीय नागरिकों को 5 लाख रुपये का नकद अनुदान। आवेदन करने के लिए इस लिंक पर पंजीकरण करें: sarkari-fund.org/apply. सीमित समय ऑफर!",1
"प्रिय ग्राहक, आपके डेबिट कार्ड की वैधता समाप्त हो गई है। अपने कार्ड को अपडेट करने के लिए इस लिंक पर क्लिक करें: bank-secure.in/update. अपनी जानकारी सुरक्षित रखें।",1
बधाई! आपने Lucky Draw में 25 लाख का कैश प्राइज जीता है। यह राशि पाने के लिए आपको सिर्फ 2000 रुपये का प्रोसेसिंग टैक्स देना होगा। अधिक जानकारी के लिए इस नंबर पर WhatsApp करें: +91 9XXXXXXX88।,1
आपका पार्सल आपके पते पर डिलीवर नहीं हो सका। कृपया डिलीवरी दोबारा शेड्यूल करने और मामूली शुल्क का भुगतान करने के लिए यहां क्लिक करें: delhivery-reschedule.com/track.,1
"तत्काल 10 लाख रुपये तक का पर्सनल लोन मात्र 5 मिनट में! कोई दस्तावेज़ नहीं, कोई क्रेडिट चेक नहीं। अभी आवेदन करें: loan-fast.net/get-loan. आज ही प्राप्त करें!",1
"आपका बेटा पुलिस द्वारा ड्रग्स के साथ गिरफ्तार किया गया है। उसे जेल से बचाने के लिए तुरंत ₹50,000 भेजें। इस नंबर पर कॉल करें: +91-9876543210",1
"तत्काल सूचना! आपके बेटे को डिजिटल तरीके से गिरफ्तार कर लिया गया है क्योंकि उसके पास ड्रग्स मिली है। इंस्पेक्टर वर्मा ने कहा है कि आपको ₹75,000 का जुर्माना भरना होगा। इस लिंक पर भुगतान करें: bit.ly/payfineindia",1
"आपके बेटे को थाना में ड्रग्स के साथ पकड़ा गया है और उसे जेल हो सकती है। कोर्ट केस से बचने के लिए ₹1,00,000 की राशि तुरंत भेजें। जानकारी के लिए WhatsApp करें: wa.me/918070605040",1
"जरूरी! मैं इंस्पेक्टर राजेश कुमार, थाना से बोल रहा हूँ। आपके बेटे को ड्रग्स के मामले में गिरफ्तार किया गया है। उसकी रिहाई के लिए ₹60,000 का भुगतान करें। जल्दी करें!",1
"आपके बेटे का भविष्य खतरे में है! उसे ड्रग्स के साथ पुलिस ने गिरफ्तार कर लिया है। जेल से बचाने के लिए तुरंत संपर्क करें और ₹80,000 का जुर्माना भरें। इस वेबसाइट पर जानकारी: call-police.help/son",1
"आपके बेटे को ड्रग्स के मामले में पुलिस ने हिरासत में लिया है। उसे रिहा करने के लिए ₹90,000 हमारे बैंक खाते में भेजें या इस UPI ID पर भुगतान करें: upi.me/scamfund",1
"यह डिजिटल गिरफ्तारी का मामला है। आपके बेटे के पास ड्रग्स मिली है। इंस्पेक्टर ने बताया है कि ₹1,20,000 नहीं भेजने पर उसे जेल हो जाएगी। वकील से बात करने के लिए इस लिंक पर क्लिक करें: thanaonline.in/case",1
"बेटा गिरफ्तार! ड्रग्स मिली! जेल से बचाना है तो अभी ₹70,000 दें। तुरंत कॉल करें! +91-9988776655",1
"आपके बेटे को पुलिस ने ड्रग्स के आरोप में गिरफ्तार किया है। उसकी तुरंत रिहाई के लिए ₹55,000 का जुर्माना अदा करें। अधिक जानकारी के लिए इस नंबर पर SMS करें: +91-8765432100",1
"यह आपकी अंतिम चेतावनी है। आपके बेटे को ड्रग्स के साथ पकड़ा गया है और उसे जेल भेजा जा रहा है। अगर आप उसे बचाना चाहते हैं, तो तुरंत ₹1,10,000 इस लिंक पर भेजें: jailrelief.org/case",1
