text,label
Urgent notice! Your electricity connection will Power Off tonight due to Bill Unpaid. An Officer will disconnect by 7 PM. Avoid being in the dark! Call +91 9876543210 immediately to prevent.,1
Final Warning: Your power supply faces immediate Power Off tonight. Our records show a significant Bill Unpaid. Contact our Senior Officer at +91 9911223344 before 6 PM or spend the night in darkness.,1
Electricity Disconnection Alert! Your Bill Unpaid status will lead to Power Off at 8 PM. Our field Officer is dispatched. Call +91 8765432109 NOW to avoid complete blackout tonight.,1
Action Required! Your outstanding Bill Unpaid account will result in permanent Power Off tonight. An official Officer will execute the disconnection. Call +91 9321098765 to resolve this instantly. Don't let your home go dark tonight.,1
Severe Warning: Your electricity connection is scheduled for Power Off due to an urgent Bill Unpaid. The assigned Officer will proceed with disconnection tonight. Call +91 7890123456 before 7:30 PM to stop this.,1
IMMEDIATE DISCONNECTION! Your Bill Unpaid shows pending. Power Off will occur tonight without further notice. Speak to the supervising Officer at +91 9123456789. Don't be left in the dark!,1
Your electricity supply will be Power Off by 9 PM tonight for an overdue Bill Unpaid. An authorized Officer is on their way. Prevent this by calling +91 8877665544 NOW.,1
Important: Your current Bill Unpaid will lead to Power Off tonight. Our Officer will be at your premises for immediate disconnection. Call +91 9654321098 by 6:30 PM to avert this emergency.,1
Final Notice! Your electricity is set to Power Off tonight due to a critical Bill Unpaid. The field Officer will act. Call +91 7788990011 immediately to prevent your house from being dark.,1
Urgent! Your power connection will Power Off at 7 PM sharp tonight. This is due to an unresolved Bill Unpaid. Contact our enforcement Officer at +91 9001122334 to avoid a police case and complete darkness.,1
"URGENT: Your electricity supply will be Power Off tonight at 10 PM sharp due to Bill Unpaid. Contact our Electricity Officer Mr. Sharma on +91 9876543210 for immediate action, or face dark tonight.",1
WARNING! Your power connection is scheduled for Power Off tonight. Your Bill Unpaid status requires immediate resolution. Call the Electricity Officer Mr. Kumar at +91 9988776655 NOW to avoid total darkness.,1
FINAL NOTICE: Electricity will be Power Off tonight by 8 PM due to your Bill Unpaid. An Electricity Officer will initiate disconnection. Prevent it! Call +91 9712345678 immediately. Don't be left in dark tonight.,1
