text,label
"Kahan ho? I called you 5 times, it was URGENT! Pick up the phone now, I'm really worried. Pura din busy rehte ho?",0
Your Salary of INR 85000 has been credited to A/c XX1234. Your current balance incl. this money is INR 98765. SBI.,0
"Yaar, this new AR Rahman song is just awesome! Sunn, main tujhe LINK bhej raha hu: https://www.youtube.com/watch?v=xyz123. Pura sunna.",0
"listen, i tried calling you on +919876543210 but it's not connecting. call me back asap when you see this. kya ho gaya hai?",0
"dear customer, your salary for oct has been credited to your account (ending 4321) with inr 65000. current bal: inr 78900. hdfc bank.",0
"Hey, I found this amazing recipe for Butter Chicken! Must try this weekend. I'll send you the video later.",0
Tumhara phone kyu nahi uth raha? I'm getting really WORRIED now. Call me back immediately! I'm so angry.,0
hey! salary credited msg aa gaya. a/c mein dekh le. finally!! ab party!,0
"Dude, check out this new cafe I visited. The ambiance video is on Insta, but here's the location LINK: https://maps.app.goo.gl/abcdefg. Super cool place!",0
"Dear Customer, multiple calls missed from +918888812345 (Wife's number). Please call back URGENTLY regarding an important matter. Ignoring this may lead to serious issues.",0
Your daily data limit has expired. Recharge your pack urgently to continue uninterrupted services. Visit https://myprovider.com/recharge or call +919876543210 for assistance.,0
Arre! Blinkit delivery wala gate pe hai. 10 minutes mein pahuch jaunga. Location dekh lo: https://maps.app.goo.gl/deliverypoint,0
"Hey, Dadi ki tabiyat bohot kharab hai. Hospital mein hai. Come fast, doctor says it's urgent. Don't worry about money, just reach.",0
mera data pack khatam ho gaya yaar! kaise chalega ab? jaldi recharge karana hai. wifi bhi nahi hai.,0
Your Zepto order #ZP78901 for groceries is currently at your main gate. Please collect it within the next 5 minutes to ensure freshness.,0
"Dadi ki tabiyat bigad gayi hai. We are at Apollo Hospital, emergency ward. Please come urgently. Doctor wants to talk. Call me on +919988776655.",0
"alert: your monthly data pack has expired. to avoid service disruption, please recharge immediately. no otp required for quick recharge via our official app.",0
"Delivery guy called, says groceries are at the main gate. He's got your order. Come down whenever you can.",0
An urgent update regarding Grandma: She has been admitted to the ICU ward at Max Hospital. Further details will be shared by the doctor post-assessment. Please reach when convenient.,0
Important: Your monthly data limit has been reached. A top-up link has been sent to your registered email for urgent action. Do not share any OTP for this transaction: https://telecom.recharge/urgent,0
"Dear Customer, your daily data limit has expired. Recharge urgently to continue uninterrupted services. Visit your_service.com/recharge",0
"beta, ye uncle verma ka naya number hai: +919876543210. save kar le, kal subah baat karna.",0
Your Zepto order #ZPT12345 is 10 minutes away! Please be ready at the gate. Track here: https://maps.app.goo.gl/delivery_zone,0
"Arrey yaar, mera data pack expired ho gaya. Recharge ke liye money chahiye, bhej de ₹199 wala plan.",0
"Ye naya contact number hai, isko save karle: Dr. Sharma. Koi link nahi bhej raha, bas number hai. Call karna.",0
Blinkit order aa gaya hai gate pe. Delivery boy ko OTP batana 1234. Groceries pahunch gayi.,0
Your high-speed data limit has expired. Recharge your pack for seamless internet. Watch how to recharge: https://youtu.be/recharge_guide_example,0
arvind ka number send kar raha hu. baad mein call karlena. abhi busy hu.,0
Zepto wala 5 min mein gate pe hoga. Mera order #ZPT6789 ready rakhna. Sab groceries hain.,0
"Net khatam ho gaya! Please recharge my data pack, jaldi se. Can't even browse. Help!",0
"Hi honey, maid ka salary dena hai. Cash ready hai? She needs money for this month's pay.",0
"Your A/C XXXX1234 has been credited with INR 55,000 on 24-05-2024. Available bal is INR 75,200. No OTP or link needed for this alert.",0
"Hey, ye naya song suna kya? Bahut catchy hai! Check it out here: https://www.youtube.com/watch?v=dQw4w9WgXcQ",0
"Maid ka monthly salary dena hai, pls send cash today. She called on +919876543210, saying it's urgent.",0
"Your Salary of INR 85,000 credited to SB A/c 5678. Avail. Bal. INR 92,500. Remember, banks never ask for your OTP.",0
"ye biryani ki recipe try kario next weekend! if you need special ingredients, i found a shop here: https://maps.app.goo.gl/abcdefg123456789",0
Wife: Maid ko pay karna hai for this month. Need cash for her salary. Can you transfer money by evening?,0
"INR 62,000 has been credited to your account (XXXX9876) on 24/05/2024. Total Balance: INR 1,10,500. Thank you for banking with us.",0
You HAVE to watch this amazing cooking video! It's urgent if you want to make that pasta recipe tonight!,0
"sweetheart, maid ka salary ka time ho gaya. kitna pay karna hai? no otp required for her cash payment, just withdraw money from atm.",0
"Hey, I've reached! You can track my exact location here: https://maps.app.goo.gl/abcdefg. Will be home in 10.",0
Your data pack is about to expire. Recharge urgently to continue uninterrupted services. Visit our app or call +919876543210.,0
"Beta, woh gas cylinder book kar de. Agency se OTP aayega, bata dena. Number nahi mil raha.",0
"Main bus pohoch gaya. Tera current location bhej de, will ping you from here.",0
Your monthly data limit has been consumed. Recharge your account with Rs. 299 for 1.5GB/day. Transaction confirmation link: bit.ly/recharge_offer,0
