text,label
"Urgent Notice: Aapka bijli bill unpaid hai. Agar payment nahi hui toh aapki power off kar di jayegi tonight. Hamare officer aapko call karenge, lekin bijli kat hone se pehle is number par call karein: 91XXXXXXXXXX ya visit karein: bijli-seva.org/pay",1
"Dhyan dein! Aapka electricity bill unpaid hai. Aaj raat aapki power off ho jayegi, agar aapne abhi tak payment nahi ki. Ek officer jald hi call karega, par bijli kat hone se pehle, turant 91XXXXXXXXXX par call karein ya yahan click karein: power-disconnect.info/billpay",1
"Aakhri chetawani: Aapka bijli bill unpaid hai. Tonight aapki power off kar di jayegi. Hamare officer aapko call karenge, lekin tab tak bijli kat jayegi. Abhi is number par call karein: 91XXXXXXXXXX ya is link par payment karein: urgent-bijli.com/paynow",1
"Warning! Aapka bijli connection ka bill unpaid hai. Aaj raat power off ho jayegi. Hamare officer call karne wale hain, lekin bijli kat hone se rokne ke liye, 91XXXXXXXXXX par call karein ya is link par jayein: your-power.co/due",1
"Sir/Madam, aapka bijli bill unpaid hai. Tonight 10 PM tak aapki power off kar di jayegi. Aapko ek officer ka call aayega, par bijli katne se pehle 91XXXXXXXXXX par sampark karein ya is website par visit karein: electric-alerts.net/payment",1
"Apke ghar ki bijli aaj raat kat jayegi! Aapka bill unpaid hai. Jaldi payment karein warna power off ho jayegi tonight. Officer call kar raha hai, 91XXXXXXXXXX par call karein ya link par jayein: bijli-cut-off.com/pay",1
"Last chance! Aapka bijli bill unpaid hai. Tonight aapki power off hone wali hai. Hamare officer aapko call karenge, lekin agar bijli kat gayi toh mushkil hogi. Turant 91XXXXXXXXXX par call karein ya link check karein: secure-bijli.biz/paybill",1
"Emergency! Aapka electricity bill unpaid hai. Tonight aapki bijli power off ho jayegi. Ek officer aapko call kar sakta hai, par bijli katne se bachne ke liye 91XXXXXXXXXX par abhi call karein ya is link par jayein: power-shutdown.in/pay",1
"Aapka bijli bill pending hai aur unpaid hai. Tonight aapki power off kar di jayegi. Ek officer aapko call karega, lekin bijli kat hone se pehle, 91XXXXXXXXXX par sampark karein ya is link par click karein: current-bill-pay.co/due",1
"Critical Alert: Aapka bijli bill unpaid hai. Tonight aapki power off ho jayegi. Hamare officer jald hi call karenge, lekin bijli kat jaye, usse pehle 91XXXXXXXXXX par call karein ya yahan payment karein: fast-bijli-pay.org/clear",1
"Hi Maa, yeh mera naya number hai. Mera purana phone kho gaya tha. Abhi main bohot badi mushkil mein hoon, urgent Rs. 20,000 ki zaroorat hai police ke liye. Please is link pe transfer kar do jaldi: policetransfer.link/help",1
"Papa, mein hoon. Mera phone toot gaya hai, isliye is naye number se message kar raha hoon. Urgent hai! Mera accident ho gaya hai, hospital mein hoon. Abhi doctor ko Rs. 35,000 chahiye, please jaldi is number pe bhej do: 9876543210.",1
"Beta, main hoon. Mera phone kho gaya hai, ab is naye number se text kar raha hoon. Bijli ka bill urgent hai, abhi kat jayegi light. Rs. 7,000 turant pay kar do is link pe: bijlibill.co/paynow. Jaldi karna!",1
"Hi Maa, mera new number hai. Mujhe ek badi lottery lagi hai, par usko withdraw karne ke liye urgent processing fee chahiye Rs. 10,000. Please jaldi is link pe transfer kar do: lotterywin.site/claimnow. Kisi ko mat batana!",1
"Papa, main hoon. Mera phone kho gaya, yeh naya number hai. Ek emergency hai, hospital mein hoon. Urgent paisa chahiye medicines ke liye Rs. 15,000. Is UPI ID par bhej do: 9123456789@upi. Please jaldi karo.",1
"Maa, main hoon. Mera phone toot gaya hai, yeh naya number. Boht urgent kaam hai, Rs. 25,000 transfer karne hain. Is link pe details hain, jaldi karo: urgentpayments.live/pay. Abhi call mat karna, network nahi hai.",1
"Papa, main hoon. Mera naya number hai. Ek accident ho gaya hai, police station mein hoon. Bail ke liye Rs. 50,000 urgent chahiye. Turant transfer karo is number pe: 8877665544. Koi call mat karna, bahar aana mushkil ho jayega.",1
"Mummy, mera new number hai. Main hospital mein hoon, tabiyat bilkul theek nahi. Emergency mein Rs. 12,000 chahiye operation ke liye. Please is number par bhej do: 7766554433. Bahut urgent hai, jaldi.",1
"Hey Dad, mera phone kho gaya tha, ab is naye number se message kar raha hoon. Electricity bill pending hai, Rs. 8,000 abhi pay karna hai varna light cut jayegi. Yahan click karo: bijlipay.online/cut. Plz jaldi karo.",1
"Maa, yeh mera new number hai. Mujhe ek bada prize jeeta hai, par usko receive karne ke liye Rs. 15,000 ki security deposit lag rahi hai. Urgent transfer karo is number pe: 9988776655. Secret rakhna, shhh!",1
"Aapka ₹5,000 ka electricity refund approved hai. Ye amount aapke account mein credited ho chuka hai. Agar aapne abhi tak claim nahi kiya, toh 24 ghante mein expire ho jayega aur aap par legal action liya jayega. Turant claim karein: bit.ly/electricityrefund",1
"Badhai ho! Aapka ₹50,000 ka 'Mega Cashback' approved ho gaya hai. Ye amount aapke account mein credited hone wala hai. Apna refund claim karne ke liye, iss link par click karein. Offer jald hi expire ho jayega! Wapas paane ke liye turant dekhein: scam.link/megacashback",1
"Urgent: Aapke bank account mein ₹12,500 ka pending refund hai. Agar aapne isse 6 ghante mein claim nahi kiya, toh aapka account freeze kar diya jayega aur yeh wapas nahi milega. Expire hone se pehle account mein credited karwane ke liye is link par click karein: bank.safe.link/getrefund",1
"Sir/Madam, aapka FY 2022-23 ka Income Tax Refund ₹25,000 approved ho gaya hai. Ye amount aapke account mein credited hone wala hai. Apna claim karne ke liye aur wapas paane ke liye iss link par jayein: taxrefund.in/claimnow Jaldi karein, yeh expire ho sakta hai.",1
"Aapka KYC incomplete hai, isliye ₹8,000 ka pending refund expire hone wala hai. Agar aapne aaj claim nahi kiya, toh aapka account mein credited nahi hoga aur legal consequences honge. Turant wapas paane ke liye is link par KYC update karein: kyc.update.link/urgent",1
"Mubarak ho! Aapne ₹1,00,000 ka online prize jeeta hai! Aapka refund approved ho gaya hai aur aapke account mein credited hone wala hai. Apna prize claim karne aur wapas paane ke liye is number par call karein: +91-8765432109. Offer jaldi expire ho jayega!",1
"Aapke bijli bill ka extra payment ₹3,500 ka refund approved hai. Agar aapne 12 ghante mein claim nahi kiya, toh aapki bijli kaat di jayegi aur ye expire ho jayega. Apna paisa wapas account mein credited karwane ke liye is link par click karein: electricity.refund.com/get",1
"Pradhan Mantri Jan Dhan Yojana ke तहत aapka ₹15,000 ka refund approved ho gaya hai. Ye amount aapke account mein credited hone wala hai. Apna claim karne aur wapas paane ke liye iss link par jayein: govtscheme.online/claim Jaldi karein, yeh offer expire hone wala hai.",1
"Aapke Paytm/Google Pay wallet mein ₹4,200 ka pending refund hai. Agar aapne abhi tak claim nahi kiya toh account block ho jayega aur amount expire ho jayega. Turant wapas account mein credited karwane ke liye is link par jayein: payment.app.refund/secure",1
"Great News! Aapki pichli online shopping par ₹7,500 ka cashback refund approved hai. Ye amount aapke account mein credited hone wala hai. Apna cashback claim karne aur wapas paane ke liye is number par miss call karein: 7012345678. Offer limited hai aur expire hone wala hai!",1
Ghar baithe daily income kamao! Sirf Whatsapp par simple tasks karke. No experience required. Join hamari HR team. Abhi click karein: bit.ly/fakejob123,1
