text,label
"Dear Customer, Your A/C has been BLOCKED. Your PAN KYC is pending. UPDATE now via link: bit.ly/mybank-kyc or A/C will be suspended. Urgent!",1
URGENT: Your Bank Account will be BLOCKED TONIGHT due to incomplete KYC. Please CLICK link to UPDATE your PAN details immediately: kyc-update.com/mybank,1
"Dear User, Your Bank Account (XXX4567) is BLOCKED. To re-activate, kindly do your KYC update. Click this LINK: tinyurl.com/bank-secure. Or account will be perm. suspended.",1
ATTENTION! Your SBI Account is temporarily BLOCKED. Your KYC document (PAN) details must be UPDATED. Visit this LINK: sbi-kyc.net/verify OR CALL IMMEDIATELY +91 9876543210.,1
"CONGRATS! You are a LUCKY WINNER of Rs. 25,00,000 in the Jio Lottery! To CLAIM your PRIZE, pay a small TAX fee. Call +91 9012345678 or visit: winner-prize.info",1
"Amazing News! Your mobile number has won a Grand PRIZE of 50 Lakhs in our Annual Lottery! To CLAIM, please provide details here: bit.ly/winner-claim. Limited time offer.",1
"Dear Customer, You have been selected as our mega LOTTERY WINNER of $1 MILLION! To claim your PRIZE, a processing TAX is required. Contact our agent WhatsApp: +91 9988776655.",1
ELECTRICITY DEPARTMENT: Your POWER will be OFF TONIGHT 9 PM due to BILL UNPAID. Immediate CALL this officer: +91 9638527410 to avoid disconnection. Act now!,1
"ATTENTION: Your electricity bill is pending. If BILL UNPAID, POWER OFF will be done TONIGHT. To stop this, CALL our representative: +91 9555112233. This is final warning.",1
ALERT! Your Electricity supply will be cut-off TONIGHT at 8:00 PM because of UNPAID BILL. Contact our POWER OFF department OFFICER for immediate assistance: +91 9123456789.,1
"Dear Customer, Your electricity bill unpaid is pending. Your power will be off tonight at 10 PM. Immediately call our electricity officer on +91 9876543210 to avoid disconnection.",1
CONGRATS! Rs. 4999 refund has been credited to your account. Please claim it before it will expire in 24 hours. Click now: bit.ly/fake-bank-refund,1
"Earn Rs 3000-5000 daily income! Part-time WFH job, no experience reqd. High salary. Message our HR on WhatsApp: +91 9988776655 to start.",1
"URGENT! Dear customer, Your ELECTRICITY BILL UNPAID. Your power off will be done tonight. For assistance, call the department officer on +91 9123456789 IMMEDIATELY.",1
"Good News! You have received a cashback of Rs 750. To claim this refund, visit: kyc-update.com/cashback. Offer expires in 6 hours. This amount will be credited soon!",1
"Part-time job offer! Earn Rs.1500-2500 daily income. No registration fees, no experience needed. High salary. Join here: bit.ly/easy-job-earning to contact HR.",1
"Dear Customer, Your Bank Account will be BLOCKED if KYC not updated. Update now: kyc-update.com/verify. Avoid service suspension.",1
"Government Fund Alert! Rs.9999 has been allocated for you as a special refund. To claim and get it credited, click this link: bit.ly/govt-claim-fund. Offer expires today!",1
