text,label
"URGENT: Your tax refund of Rs 15,400 has been Approved. Amount is Pending credit to your account. Claim now at http://refund-gov.in/claim. Expires in 24h!",1
"Cashback Approved! An exclusive cashback of Rs 8,250 is Credited to you. Action Pending to activate. Visit bit.ly/claimyourcash before it's gone in 24h.",1
"Final Notice: A Tax Credit of Rs 12,300 is Pending for your account. This payment has been Approved. Secure it now at https://tax-credit-dept.org/apply. Offer expires in 24h.",1
"Your account has been Approved for a special refund of Rs 4,999. Funds are Pending. Get it Credited instantly: https://secure-cashback.co/activate. Valid for 24 hours only.",1
"Good news! Your unclaimed funds worth Rs 18,750 have been Approved. Credit is Pending. To get it Credited, visit http://official-refunds.net/verify within 24h.",1
"Immediate Action Required: A government support payment of Rs 25,000 has been Approved for you. Your claim is Pending. Act fast at https://govt-support.com/activate, expires in 24h!",1
"ALERT: Due to an overpayment, Rs 6,700 is Approved for refund. This amount is Pending credit. Claim your funds at https://tinyurl.com/refundnow. Offer valid for 24 hours only.",1
"Congratulations! Your special payout of Rs 10,000 has been Approved and is Pending release. Get it Credited instantly by visiting https://speedy-payout.info/claim. Expires in 24h.",1
"Your bonus credit of Rs 9,800 has been Approved. Amount is Pending. Click here to get it Credited to your account: https://myfunds.online/release. Must claim within 24h.",1
"Important: A financial adjustment of Rs 7,500 is Approved for you. This credit is Pending. Secure your payment now at https://your-credit.xyz/secure. Valid for 24h.",1
"Your income tax refund of Rs 8,500 has been Approved and is Pending transfer. Please claim your Credited amount within 24 hours at: bit.ly/tax-claim-now",1
"Congratulations! Your exclusive cashback of Rs 1,200 has been Approved. Amount is Pending to be Credited. Claim now: http://cashback-express.co/secure. Offer expires in 24h.",1
"Urgent: A tax credit of Rs 9,200 is Pending for your account. This amount has been Approved. Claim your Credited funds immediately: http://tax-credit-portal.net/verify. Expires in 24h.",1
"Final Reminder: Your refund of Rs 6,800 has been Approved. The amount is Pending collection and will be Credited upon verification. Complete action within 24h: bit.ly/secure-refund-in",1
"Attention! Your bank cashback of Rs 2,500 has been Approved. Transfer Pending. Ensure funds are Credited by visiting: http://mybank-rewards.info/claim. Valid for 24 hours only.",1
"Govt. Advisory: Your Tax Credit of Rs 11,000 has been Approved. Funds are Pending. To get it Credited to your account, visit: bit.ly/gov-credit-claim. Expires in 24h.",1
"Critical Alert: Your pending refund of Rs 7,900 has been Approved for immediate transfer. This amount will be Credited once you verify details here: http://official-refunds.org/get. Action required in 24h.",1
"Your recent transaction has qualified for a cashback of Rs 1,800. This has been Approved. Funds are Pending. Claim your Credited reward here: http://online-cashback.com/claim. Offer valid for 24h.",1
"Important: A Tax Credit of Rs 10,500 is Approved for your GSTIN. Funds are Pending to be Credited. Visit: bit.ly/gst-credit-form. Act within 24 hours to avoid forfeiture.",1
"Last Chance: Your account is Approved for a special refund of Rs 5,300. The amount is Pending to be Credited. Verify at: http://tax-dept-support.live/secure. Expires in 24h sharp.",1
Urgent: Your income tax refund of Rs 7890 has been Approved. Please verify your details to prevent forfeiture within 24 hours at: http://gov-claim.co/refund,1
"Congratulations! A cashback of Rs 12500 has been Credited to your account. Claim it immediately, offer expires in 12h: bit.ly/secure-cashback",1
ATTENTION: Your annual tax credit of Rs 3450 is currently Pending. Action required within 48 hours to avoid cancellation. Complete verification here: https://tax-portal.info/claim,1
Final Notification: A refund of Rs 9999 for overpayment has been Approved. Click to process before it's invalid (Expires in 24h): http://my-refund.in/verify,1
"Service Update: Your recent transaction cashback of Rs 5000 has been successfully Credited. Claim your funds now, limited time offer: bit.ly/get-your-money",1
"IMPORTANT: Your government tax relief of Rs 18500 is Pending final review. To secure your payment, visit our secure portal within 24 hours: https://credit-portal.biz/activate",1
"Alert: Your refund for a billing error, amounting to Rs 2200, has been Approved and is ready for disbursement. Act fast, claim window closes soon: http://official-payout.org/release",1
"Good News! A special cashback incentive of Rs 6700 has been Credited to you. Don't miss out, claim your funds within 48 hours: bit.ly/fund-approval",1
Urgent Action Required: Your outstanding refund of Rs 15000 has been Approved but is set to expire. Claim now or lose it forever (Expires in 24h): https://refund-center.xyz/final,1
Final Notice: Your tax credit of Rs 4200 is Pending activation. Failure to claim within 12 hours will result in permanent loss of entitlement. Secure your credit: http://tax-dept.co/secure,1
